times,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_dot
1.900000000e-02,1.241544957e-01,1.599951829e+01,0.000000000e+00,6.534315988e+00,-5.070557071e-02,0.000000000e+00,-2.070851230e-02,-2.668660683e+00,0.000000000e+00,-1.089899824e+00,8.457502313e-03,0.000000000e+00,-7.759733854e-03,-4.084070450e-01
2.000000000e-02,1.306888012e-01,1.599946625e+01,0.000000000e+00,6.534294734e+00,-5.337422709e-02,0.000000000e+00,-2.179841036e-02,-2.668652003e+00,0.000000000e+00,-1.089896279e+00,8.902624361e-03,0.000000000e+00,-8.168140899e-03,-4.084070450e-01
2.100000000e-02,1.372230848e-01,1.599941155e+01,0.000000000e+00,6.534272391e+00,-5.604287457e-02,0.000000000e+00,-2.288830479e-02,-2.668642878e+00,0.000000000e+00,-1.089892552e+00,9.347744925e-03,0.000000000e+00,-8.576547944e-03,-4.084070450e-01
2.200000000e-02,1.437573456e-01,1.599935417e+01,0.000000000e+00,6.534248958e+00,-5.871151270e-02,0.000000000e+00,-2.397819541e-02,-2.668633308e+00,0.000000000e+00,-1.089888643e+00,9.792863929e-03,0.000000000e+00,-8.984954989e-03,-4.084070450e-01
2.300000000e-02,1.502915824e-01,1.599929412e+01,0.000000000e+00,6.534224434e+00,-6.138014103e-02,0.000000000e+00,-2.506808202e-02,-2.668623292e+00,0.000000000e+00,-1.089884553e+00,1.023798130e-02,0.000000000e+00,-9.393362034e-03,-4.084070450e-01
2.400000000e-02,1.568257941e-01,1.599923141e+01,0.000000000e+00,6.534198821e+00,-6.404875913e-02,0.000000000e+00,-2.615796445e-02,-2.668612832e+00,0.000000000e+00,-1.089880281e+00,1.068309696e-02,0.000000000e+00,-9.801769079e-03,-4.084070450e-01
2.500000000e-02,1.633599796e-01,1.599916603e+01,0.000000000e+00,6.534172118e+00,-6.671736655e-02,0.000000000e+00,-2.724784252e-02,-2.668601926e+00,0.000000000e+00,-1.089875827e+00,1.112821085e-02,0.000000000e+00,-1.021017612e-02,-4.084070450e-01
2.600000000e-02,1.698941379e-01,1.599909797e+01,0.000000000e+00,6.534144326e+00,-6.938596284e-02,0.000000000e+00,-2.833771604e-02,-2.668590575e+00,0.000000000e+00,-1.089871191e+00,1.157332287e-02,0.000000000e+00,-1.061858317e-02,-4.084070450e-01
2.700000000e-02,1.764282679e-01,1.599902725e+01,0.000000000e+00,6.534115443e+00,-7.205454755e-02,0.000000000e+00,-2.942758484e-02,-2.668578780e+00,0.000000000e+00,-1.089866374e+00,1.201843297e-02,0.000000000e+00,-1.102699021e-02,-4.084070450e-01
2.800000000e-02,1.829623685e-01,1.599895386e+01,0.000000000e+00,6.534085471e+00,-7.472312025e-02,0.000000000e+00,-3.051744873e-02,-2.668566539e+00,0.000000000e+00,-1.089861374e+00,1.246354106e-02,0.000000000e+00,-1.143539726e-02,-4.084070450e-01
2.900000000e-02,1.894964385e-01,1.599887781e+01,0.000000000e+00,6.534054408e+00,-7.739168048e-02,0.000000000e+00,-3.160730753e-02,-2.668553852e+00,0.000000000e+00,-1.089856193e+00,1.290864707e-02,0.000000000e+00,-1.184380430e-02,-4.084070450e-01
3.000000000e-02,1.960304769e-01,1.599879908e+01,0.000000000e+00,6.534022256e+00,-8.006022780e-02,0.000000000e+00,-3.269716106e-02,-2.668540721e+00,0.000000000e+00,-1.089850830e+00,1.335375093e-02,0.000000000e+00,-1.225221135e-02,-4.084070450e-01
3.100000000e-02,2.025644826e-01,1.599871769e+01,0.000000000e+00,6.533989014e+00,-8.272876177e-02,0.000000000e+00,-3.378700913e-02,-2.668527145e+00,0.000000000e+00,-1.089845286e+00,1.379885256e-02,0.000000000e+00,-1.266061839e-02,-4.084070450e-01
3.200000000e-02,2.090984546e-01,1.599863362e+01,0.000000000e+00,6.533954682e+00,-8.539728195e-02,0.000000000e+00,-3.487685157e-02,-2.668513124e+00,0.000000000e+00,-1.089839559e+00,1.424395189e-02,0.000000000e+00,-1.306902544e-02,-4.084070450e-01
